HDFC BANK LIMITED
Account Holder :,RISHABH JAIN
Account No :,50100123456789
Statement From :,01/04/2025,To :,30/06/2025

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/04/25,UPI/DR/412345678901/SWIGGY/YESB/swiggy@ybl/Payment,000000000000,01/04/25,486.00,0.00,"1,83,834.55"
01/04/25,NEFT-CITIN0012345678-LECXE TECHNOLOGIES PVT LTD-SALARY APR,000000000000,01/04/25,0.00,"1,45,000.00","3,28,834.55"
02/04/25,UPI-BLINKIT-BLINKIT@AXISBANK-UTIB0000123-Groceries,000000000000,02/04/25,"1,243.50",0.00,"3,27,591.05"
03/04/25,ACH D- HDFCLIFE-10023456 PREMIUM,000000000000,03/04/25,"4,150.00",0.00,"3,23,441.05"
04/04/25,POS 4512XXXXXXXX1234 INDIAN OIL PETROL PUMP BLR,000000000000,04/04/25,"2,500.00",0.00,"3,20,941.05"
05/04/25,UPI/DR/509812345601/ZOMATO/HDFC/zomato@hdfcbank/Order,000000000000,05/04/25,712.00,0.00,"3,20,229.05"
05/04/25,SI-SIP AXIS MUTUAL FUND FOLIO 91234567,000000000000,05/04/25,"15,000.00",0.00,"3,05,229.05"
07/04/25,ATW-412345XXXXXX1234-CASH WITHDRAWAL KORAMANGALA BLR,000000000000,07/04/25,"10,000.00",0.00,"2,95,229.05"
08/04/25,UPI-AIRTEL PAYMENTS-AIRTEL@AXB-POSTPAID BILL,000000000000,08/04/25,999.00,0.00,"2,94,230.05"
10/04/25,IMPS-509812345678-RAHUL SHARMA-HDFC-RENT,000000000000,10/04/25,"32,000.00",0.00,"2,62,230.05"
12/04/25,POS 4512XXXXXXXX1234 AMAZON PAY INDIA PRIVATE,000000000000,12/04/25,"3,499.00",0.00,"2,58,731.05"
14/04/25,UPI/DR/412399887766/BESCOM/SBIN/bescom@sbi/Electricity,000000000000,14/04/25,"2,310.00",0.00,"2,56,421.05"
15/04/25,NACH DR NETFLIX ENTERTAINMENT SERVICES,000000000000,15/04/25,649.00,0.00,"2,55,772.05"
18/04/25,UPI-UBER INDIA-UBERINDIA@ICICI-Trip,000000000000,18/04/25,384.00,0.00,"2,55,388.05"
20/04/25,POS 4512XXXXXXXX1234 APOLLO PHARMACY BANGALORE,000000000000,20/04/25,"1,180.00",0.00,"2,54,208.05"
22/04/25,CREDIT CARD PAYMENT HDFC 4512XXXXXXXX9876,000000000000,22/04/25,"24,500.00",0.00,"2,29,708.05"
25/04/25,UPI/DR/412300112233/DMART/HDFC/dmart@hdfcbank/Shopping,000000000000,25/04/25,"4,820.00",0.00,"2,24,888.05"
28/04/25,INT.PD:01-01-2025 TO 31-03-2025,000000000000,28/04/25,0.00,"1,842.00","2,26,730.05"
30/04/25,AMB CHRG INCL GST FOR APR2025,000000000000,30/04/25,177.00,0.00,"2,26,553.05"
01/05/25,NEFT-CITIN0012399999-LECXE TECHNOLOGIES PVT LTD-SALARY MAY,000000000000,01/05/25,0.00,"1,45,000.00","3,71,553.05"
02/05/25,UPI/DR/509811223344/SWIGGY/YESB/swiggy@ybl/Payment,000000000000,02/05/25,634.00,0.00,"3,70,919.05"
03/05/25,ACH D- HDFCLIFE-10023456 PREMIUM,000000000000,03/05/25,"4,150.00",0.00,"3,66,769.05"
05/05/25,SI-SIP AXIS MUTUAL FUND FOLIO 91234567,000000000000,05/05/25,"15,000.00",0.00,"3,51,769.05"
06/05/25,UPI-ZEPTO-ZEPTONOW@YBL-Groceries,000000000000,06/05/25,918.00,0.00,"3,50,851.05"
08/05/25,POS 4512XXXXXXXX1234 INDIAN OIL PETROL PUMP BLR,000000000000,08/05/25,"2,400.00",0.00,"3,48,451.05"
10/05/25,IMPS-509812345678-RAHUL SHARMA-HDFC-RENT,000000000000,10/05/25,"32,000.00",0.00,"3,16,451.05"
12/05/25,NACH DR NETFLIX ENTERTAINMENT SERVICES,000000000000,12/05/25,649.00,0.00,"3,15,802.05"
14/05/25,UPI-AIRTEL PAYMENTS-AIRTEL@AXB-POSTPAID BILL,000000000000,14/05/25,999.00,0.00,"3,14,803.05"
15/05/25,UPI/DR/412355667788/MAKEMYTRIP/HDFC/mmt@hdfcbank/Flight,000000000000,15/05/25,"18,640.00",0.00,"2,96,163.05"
18/05/25,ATW-412345XXXXXX1234-CASH WITHDRAWAL INDIRANAGAR BLR,000000000000,18/05/25,"5,000.00",0.00,"2,91,163.05"
20/05/25,POS 4512XXXXXXXX1234 CULT FIT BANGALORE,000000000000,20/05/25,"2,499.00",0.00,"2,88,664.05"
22/05/25,CREDIT CARD PAYMENT HDFC 4512XXXXXXXX9876,000000000000,22/05/25,"31,200.00",0.00,"2,57,464.05"
24/05/25,UPI-BIGBASKET-BIGBASKET@ICICI-Groceries,000000000000,24/05/25,"3,240.00",0.00,"2,54,224.05"
26/05/25,UPI/DR/412344556677/IRCTC/SBIN/irctc@sbi/Ticket,000000000000,26/05/25,"1,455.00",0.00,"2,52,769.05"
28/05/25,REFUND UPI/CR/412355667788/MAKEMYTRIP/HDFC,000000000000,28/05/25,0.00,"4,120.00","2,56,889.05"
30/05/25,AMB CHRG INCL GST FOR MAY2025,000000000000,30/05/25,177.00,0.00,"2,56,712.05"
01/06/25,NEFT-CITIN0012400001-LECXE TECHNOLOGIES PVT LTD-SALARY JUN,000000000000,01/06/25,0.00,"1,45,000.00","4,01,712.05"
02/06/25,ACH D- HDFCLIFE-10023456 PREMIUM,000000000000,02/06/25,"4,150.00",0.00,"3,97,562.05"
03/06/25,UPI/DR/509899887711/ZOMATO/HDFC/zomato@hdfcbank/Order,000000000000,03/06/25,890.00,0.00,"3,96,672.05"
05/06/25,SI-SIP AXIS MUTUAL FUND FOLIO 91234567,000000000000,05/06/25,"15,000.00",0.00,"3,81,672.05"
06/06/25,UPI-BLINKIT-BLINKIT@AXISBANK-UTIB0000123-Groceries,000000000000,06/06/25,"1,670.00",0.00,"3,80,002.05"
09/06/25,POS 4512XXXXXXXX1234 CROMA RETAIL BANGALORE,000000000000,09/06/25,"42,990.00",0.00,"3,37,012.05"
10/06/25,IMPS-509812345678-RAHUL SHARMA-HDFC-RENT,000000000000,10/06/25,"32,000.00",0.00,"3,05,012.05"
12/06/25,NACH DR NETFLIX ENTERTAINMENT SERVICES,000000000000,12/06/25,649.00,0.00,"3,04,363.05"
13/06/25,UPI-JIO RECHARGE-JIO@HDFCBANK-Prepaid,000000000000,13/06/25,349.00,0.00,"3,04,014.05"
16/06/25,UPI/DR/412366778899/BESCOM/SBIN/bescom@sbi/Electricity,000000000000,16/06/25,"3,120.00",0.00,"3,00,894.05"
18/06/25,TRANSFER TO 50100123456789 SELF SAVINGS,000000000000,18/06/25,"25,000.00",0.00,"2,75,894.05"
20/06/25,POS 4512XXXXXXXX1234 PVR CINEMAS BANGALORE,000000000000,20/06/25,"1,180.00",0.00,"2,74,714.05"
23/06/25,UPI-UBER INDIA-UBERINDIA@ICICI-Trip,000000000000,23/06/25,512.00,0.00,"2,74,202.05"
25/06/25,UPI/DR/412300998877/DMART/HDFC/dmart@hdfcbank/Shopping,000000000000,25/06/25,"5,310.00",0.00,"2,68,892.05"
27/06/25,CREDIT CARD PAYMENT HDFC 4512XXXXXXXX9876,000000000000,27/06/25,"28,400.00",0.00,"2,40,492.05"
30/06/25,AMB CHRG INCL GST FOR JUN2025,000000000000,30/06/25,177.00,0.00,"2,40,315.05"

*Closing Balance
