Account Statement
Account #,1234567890,SAVINGS
27 Jul 2026 - 26 Aug 2026

#,Transaction Date,Value Date,Transaction Details,Chq / Ref No.,DEBIT/CREDIT(INR),BALANCE(INR)
1,25 Aug 2026 08:35 PM,25 Aug 2026,UPI/Amazon Pay/YESB/660316651231/You are payi,UPI-6237379201,-216.07,"33,369.10"
2,25 Aug 2026 12:43 AM,25 Aug 2026,UPI/ZEPTO MARKETPL/UTIB/623784894716/UPI,UPI-6237379201,-203.00,"33,585.17"
3,24 Aug 2026 01:04 PM,24 Aug 2026,NACH-ECS-CR-EICHER FNLDIV 202526-80723,UPI-6237379201,+164.00,"33,788.17"
4,24 Aug 2026 07:45 AM,24 Aug 2026,UPI/DELHI METRO RA/AIRP/623694727010/Payment,UPI-6237379201,-500.00,"33,624.17"
5,23 Aug 2026 07:35 PM,23 Aug 2026,UPI/BHAGATJI BALUS/YESB/660115288923/UPI,UPI-6237379201,-34.00,"34,124.17"
6,22 Aug 2026 09:28 AM,22 Aug 2026,UPI/CRED Club/UTIB/660029656566/payment on C,UPI-6237379201,"-3,915.06","34,158.17"
7,21 Aug 2026 08:19 PM,21 Aug 2026,UPI/Zepto/AIRP/623318247016/UPI,UPI-6237379201,-72.00,"38,073.23"
8,21 Aug 2026 08:18 PM,21 Aug 2026,UPI/Zepto/YESB/623388559691/UPI,UPI-6237379201,-74.00,"38,145.23"
9,21 Aug 2026 12:21 AM,21 Aug 2026,UPI/ZEPTO/HDFC/623365200740/UPI,UPI-6237379201,-88.00,"38,219.23"
10,20 Aug 2026 10:17 PM,20 Aug 2026,UPI/GOOGLE INDIA D/utib/397217822326/UPI,UPI-6237379201,+2.00,"38,307.23"
11,19 Aug 2026 06:39 PM,19 Aug 2026,UPI/Hunger Point/YESB/623102578855/UPI,UPI-6237379201,-25.00,"38,305.23"
12,18 Aug 2026 08:09 PM,18 Aug 2026,UPI/TOSHIT JAIN/KKBK/623033503097/kitty,UPI-6237379201,"-7,000.00","38,330.23"
13,17 Aug 2026 12:05 PM,17 Aug 2026,UPI/MUNCHMART TECH/UTIB/622974494146/UPI,UPI-6237379201,-105.00,"45,330.23"
14,15 Aug 2026 09:30 PM,15 Aug 2026,UPI/SWIGGY INSTAMA/UTIB/659330280641/UPI,UPI-6237379201,-223.00,"45,435.23"
15,15 Aug 2026 02:35 PM,15 Aug 2026,UPI/MAX SUPER SPEC/HDFC/659332345289/UPI,UPI-6237379201,-20.00,"45,658.23"
16,15 Aug 2026 01:01 PM,15 Aug 2026,UPI/SHAGUN SWEETS/YESB/659369139920/UPI,UPI-6237379201,-580.00,"45,678.23"
17,15 Aug 2026 01:02 AM,15 Aug 2026,REV-UPI/1 GGN SGT GH/659312607863/COMPLAIN,UPI-6237379201,+20.00,"46,258.23"
18,15 Aug 2026 12:57 AM,15 Aug 2026,UPI/1 GGN SGT GH/YESB/659312607863/UPI,UPI-6237379201,-20.00,"46,238.23"
19,14 Aug 2026 11:09 AM,14 Aug 2026,UPI/MUSKAN/BARB/622630462323/Sent using P,UPI-6237379201,+975.00,"46,258.23"
20,14 Aug 2026 10:54 AM,14 Aug 2026,UPI/SWIGGY INSTAMA/UTIB/622658630241/UPI,UPI-6237379201,-495.00,"45,283.23"
21,14 Aug 2026 07:30 AM,14 Aug 2026,UPI/DELHI METRO RA/AIRP/622695729598/Payment,UPI-6237379201,-600.00,"45,778.23"
22,13 Aug 2026 04:41 PM,13 Aug 2026,UPI/Mr SURESH KUM/CBIN/659124786292/UPI,UPI-6237379201,"-3,000.00","46,378.23"
23,12 Aug 2026 08:14 PM,12 Aug 2026,UPI/Aman Kumar/YESB/659065523708/UPI,UPI-6237379201,-50.00,"49,378.23"
24,11 Aug 2026 10:29 PM,11 Aug 2026,UPI/SPOTIFY INDIA /HDFC/103839732470/Execution te,UPI-6237379201,-139.00,"49,428.23"
25,10 Aug 2026 07:02 PM,10 Aug 2026,UPI/Hare krishna I/YESB/658820552843/UPI,UPI-6237379201,-25.00,"49,567.23"
26,08 Aug 2026 08:37 PM,08 Aug 2026,UPI/Amazon Pay/UTIB/622020600533/You are payi,UPI-6237379201,-107.09,"49,592.23"
27,08 Aug 2026 03:30 PM,08 Aug 2026,UPI/VED ELECTROMEC/UTIB/658641467592/UPI,UPI-6237379201,-950.00,"49,699.32"
28,06 Aug 2026 09:52 PM,06 Aug 2026,UPI/Amazon Pay/UTIB/621870437039/You are payi,UPI-6237379201,-73.46,"50,649.32"
29,06 Aug 2026 05:12 PM,06 Aug 2026,UPI/ADARSH PRAKASH/ICIC/658488352312/Paid via Sup,UPI-6237379201,+50.00,"50,722.78"
30,04 Aug 2026 09:57 PM,04 Aug 2026,UPI/Blinkit/AIRP/621676284406/Pay via Razo,UPI-6237379201,-235.00,"50,672.78"
31,03 Aug 2026 12:09 AM,03 Aug 2026,UPI/ANGEL ONE MUTU/INDB/100141356049/Subscription,UPI-6237379201,-100.00,"50,907.78"
32,02 Aug 2026 09:33 PM,02 Aug 2026,UPI/CRED Club/UTIB/658029603366/payment on C,UPI-6237379201,"-4,220.00","51,007.78"
33,02 Aug 2026 09:22 PM,02 Aug 2026,MB:811SENT NEFT SELF 398000JB00001337 PUN,UPI-6237379201,"-5,000.00","55,227.78"
34,01 Aug 2026 05:03 AM,01 Aug 2026,Recd:IMPS/621305736877/LANEONE VE/KKBK/X0021/BULD7,UPI-6237379201,"+41,667.00","60,227.78"
35,31 Jul 2026 07:27 PM,31 Jul 2026,MB:RECEIVED FROM MAPPING DIGIWORLD PRIVATE LIMITED,UPI-6237379201,"+3,000.00","18,560.78"
36,29 Jul 2026 06:15 PM,29 Jul 2026,UPI/Hare krishna I/YESB/657688683994/UPI,UPI-6237379201,-25.00,"15,560.78"
37,29 Jul 2026 12:42 PM,29 Jul 2026,UPI/ATUL AGARWAL/UTIB/657659069503/ITR,UPI-6237379201,"-1,500.00","15,585.78"
38,28 Jul 2026 04:14 PM,28 Jul 2026,UPI/Gopi Service S/YESB/620963487953/UPI,UPI-6237379201,-420.00,"17,085.78"
39,28 Jul 2026 02:43 PM,28 Jul 2026,UPI/Netflix/utib/349259002096/MandateExecu,UPI-6237379201,-199.00,"17,505.78"
40,28 Jul 2026 10:12 AM,28 Jul 2026,UPI/GOOGLE INDIA D/utib/276270482096/UPI,UPI-6237379201,+2.00,"17,704.78"
41,27 Jul 2026 06:40 PM,27 Jul 2026,UPI/XERO DEGREES K/YESB/620871232863/UPI,UPI-6237379201,-262.00,"17,702.78"
